controller,rtt_ms,loss_pct,rate_mbps,cwnd,inflight,bodies,queue_bytes,dropped
BLIND (no control),197.3,0.0,0.583,10000000,21138,1000,14092,0
BLIND (no control),201.1,0.0,0.545,10000000,21138,1000,14092,0
BLIND (no control),197.1,0.0,0.563,10000000,21138,1000,14092,0
BLIND (no control),199.6,0.0,0.563,10000000,21138,1000,14092,0
BLIND (no control),196.8,0.0,0.574,10000000,21138,1000,14092,0
BLIND (no control),203.3,0.0,0.546,10000000,21138,1000,14092,0
BLIND (no control),208.6,0.0,0.522,10000000,21138,1000,14092,0
BLIND (no control),207.1,0.0,0.546,10000000,21138,1000,14092,0
BLIND (no control),206.2,0.0,0.554,10000000,21138,1000,14092,0
BLIND (no control),197.4,0.0,0.566,10000000,21138,1000,14092,0
BLIND (no control),200.6,0.0,0.554,10000000,21138,1000,14092,0
BLIND (no control),197.3,0.0,0.574,10000000,21138,1000,14092,0
BLIND (no control),200.9,0.0,0.563,10000000,21138,1000,14092,0
BLIND (no control),197.1,0.0,0.563,10000000,21138,1000,14092,0
BLIND (no control),204.9,0.0,0.554,10000000,21138,1000,14092,0
BLIND (no control),195.3,0.0,0.566,10000000,21138,1000,14092,0
BLIND (no control),206.9,0.0,0.53,10000000,21138,1000,14092,0
BLIND (no control),212.9,0.0,0.522,10000000,21138,1000,14092,0
BLIND (no control),216.1,0.0,0.529,10000000,21138,1000,14092,0
BLIND (no control),208.7,0.0,0.53,10000000,21138,1000,14092,0
BLIND (no control),209.4,0.0,0.545,10000000,21138,1000,14092,0
BLIND (no control),206.0,0.0,0.554,10000000,21138,1000,14092,0
BLIND (no control),204.5,0.0,0.529,10000000,21138,1000,14092,0
BLIND (no control),203.4,0.0,0.563,10000000,21138,1000,14092,0
BLIND (no control),198.7,0.0,0.563,10000000,21138,1000,14092,0
BLIND (no control),204.2,0.0,0.537,10000000,21138,1000,14092,0
BLIND (no control),207.3,0.0,0.537,10000000,21138,1000,14092,0
BLIND (no control),203.7,0.0,0.546,10000000,21138,1000,14092,0
BLIND (no control),204.8,0.0,0.546,10000000,21138,1000,14092,0
BLIND (no control),203.5,0.0,0.563,10000000,21138,1000,14092,0
BLIND (no control),200.2,0.0,0.554,10000000,21138,1000,14092,0
BLIND (no control),207.2,0.0,0.537,10000000,21138,1000,14092,0
BLIND (no control),192.4,0.0,0.6,10000000,21138,1000,14092,0
BLIND (no control),197.2,0.0,0.583,10000000,21138,1000,14092,0
BLIND (no control),210.4,0.0,0.514,10000000,21138,1000,14092,0
BLIND (no control),233.9,0.0,0.463,10000000,21138,1000,14092,0
BLIND (no control),231.4,0.0,0.491,10000000,21138,1000,14092,0
CUBIC-like (loss-based),220.5,0.0,0.514,21500,21153,1000,14102,0
CUBIC-like (loss-based),218.0,0.0,0.522,26500,21153,1000,14102,0
CUBIC-like (loss-based),215.0,0.0,0.53,31500,21153,1000,14102,0
CUBIC-like (loss-based),214.2,0.0,0.522,36500,21153,1000,14102,0
CUBIC-like (loss-based),212.3,0.0,0.53,41500,21153,1000,14102,0
CUBIC-like (loss-based),220.1,0.0,0.507,46000,21153,1000,14102,0
CUBIC-like (loss-based),233.9,0.0,0.45,50500,21153,1000,14102,0
CUBIC-like (loss-based),275.6,0.0,0.376,54000,21153,1000,14102,0
CUBIC-like (loss-based),311.6,0.0,0.328,57000,21153,1000,14102,0
CUBIC-like (loss-based),290.6,0.0,0.406,61000,21153,1000,14102,0
CUBIC-like (loss-based),250.2,0.0,0.477,65500,21153,1000,14102,0
CUBIC-like (loss-based),231.4,0.0,0.507,70000,21153,1000,14102,0
CUBIC-like (loss-based),231.9,0.0,0.491,74500,21153,1000,14102,0
CUBIC-like (loss-based),199.3,0.0,0.583,80000,21153,1000,14102,0
CUBIC-like (loss-based),204.2,0.0,0.555,85000,21153,1000,14102,0
CUBIC-like (loss-based),201.0,0.0,0.554,90000,21153,1000,14102,0
CUBIC-like (loss-based),201.5,0.0,0.554,95000,21153,1000,14102,0
CUBIC-like (loss-based),205.2,0.0,0.546,100000,21153,1000,14102,0
CUBIC-like (loss-based),203.8,0.0,0.554,105000,21153,1000,14102,0
CUBIC-like (loss-based),211.3,0.0,0.538,110000,21153,1000,14102,0
CUBIC-like (loss-based),207.1,0.0,0.546,115000,21153,1000,14102,0
